Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,69090,202,1,6052,520.52,0.331%,2158.65775,2561.13,578.40,1214.9
总体,69090,202,1,6052,520.52,0.331%,2158.65775,2561.13,578.40,1214.9
