Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,10527,788,3,1034,177.63,0.000%,346.79624,109377.98,93.13,322965.0
总体,10527,788,3,1034,177.63,0.000%,346.79624,109377.98,93.13,322965.0
