Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求,9452,881,924,1073,1122,1321,3,2125,0.000%,310.43090,97908.51,83.37
总体,9452,881,924,1073,1122,1321,3,2125,0.000%,310.43090,97908.51,83.37
