Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,9430,890,5,9103,993.64,2.725%,294.53103,90385.40,77.20,314244.1
总体,9430,890,5,9103,993.64,2.725%,294.53103,90385.40,77.20,314244.1
