Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,9911,843,4,4032,330.93,0.000%,322.32991,101661.40,86.56,322965.0
总体,9911,843,4,4032,330.93,0.000%,322.32991,101661.40,86.56,322965.0
